调配方式	物料号	物料名称	需求数量	日程下达日期	日程完成日期	使用库存
采购		20110	镜架		190		2018/4/9	2018/4/30	0
采购		20130	鼻托		380		2018/4/11	2018/4/30	0
采购		20120	镜腿		350		2018/4/19	2018/4/30	30
采购		20109	螺钉		784		2018/4/19	2018/4/30	60
生产		20100	镜框		190		2018/4/30	2018/5/2	0
采购		20110	镜架		100		2018/5/6	2018/5/27	0
采购		20300	镜片		200		2018/5/8	2018/5/29	0
采购		20130	鼻托		200		2018/5/8	2018/5/27	0
采购		20110	镜架		300		2018/5/10	2018/5/31	0
采购		20130	鼻托		600		2018/5/12	2018/5/31	0
采购		20300	镜片		600		2018/5/12	2018/6/2	0
采购		20120	镜腿		200		2018/5/16	2018/5/27	0
采购		20109	螺钉		444		2018/5/16	2018/5/27	0
采购		20109	螺钉		444		2018/5/18	2018/5/29	0
采购		20109	螺钉		1333		2018/5/20	2018/5/31	0
采购		20120	镜腿		600		2018/5/20	2018/5/31	0
采购		20109	螺钉		1333		2018/5/22	2018/6/2	0
生产		20100	镜框		100		2018/5/27	2018/5/29	0
生产		20000	眼镜		100		2018/5/29	2018/5/30	0
生产		20100	镜框		300		2018/5/31	2018/6/2	0
生产		20000	眼镜		300		2018/6/2	2018/6/3	0
